Project ,Method,Model,Approach,Original Violations,Resolved Violations,Unresolved Violations,Introduced Issues,Split Count,Cyclomatic (Before),Cognitive (Before),NPath (Before),LOC (Before),Cyclomatic Max (After),Cognitive  Max (After),NPath Max  (After),LOC Max (After) ,Cyclomatic Avg (After),Cognitive  Avg (After),NPath Avg  (After),LOC Avg  (After) ,Average reduction ,Reduction Effectiveness,Tests Total,Passed,Failed,Effectiveness level,Notes,Column 1,
cobertura,merge(CoverageData coverageData), R1 Distill Qwen 32B,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",,Yes,2,11,18,,31,5,10,,15,4,6,,14.5,50.20%,Moderate,7,,,Ineffective(Error or Untestable),Type safety issues wiht generic wildcards,,
cobertura,merge(CoverageData coverageData), R1 Distill Qwen 32B,HYBRID,"CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",,Yes,7,11,18,,31,5,7,,17,1.86,3,,6.29,53.61%,Moderate,7,,,Ineffective(Error or Untestable),Uses a method that doesn't exist,,
strimzi/strimzi-kafka-operator,adminClientConfig(), Gemini 2.0 Flash,HYBRID,"CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode",,Yes,,18,21,630,45,,,,,,,,,#N/A,#N/A,16,,,Ineffective(Error or Untestable),"LLM response only lists fields instead of providing the required refactored method.
",,88
strimzi/strimzi-kafka-operator,adminClientConfig(), Gemini 2.0 Flash,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode",,No,3,18,21,630,45,10,11,15,18,6.33,6.33,7.67,14.67,62.42%,Moderate,16,16,0,Moderate,"Single responsibility principle
Enhanced structure",,
strimzi/strimzi-kafka-operator,adminClientConfig(), Llama 4 Maverick,HYBRID,"CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode, NPathComplexity",,No,7,18,21,630,45,6,4,6,12,3.43,2.33,3.43,8,80.00%,Moderate,16,16,0,Moderate,"Single responsibility principle
Enhanced structure",,
strimzi/strimzi-kafka-operator,adminClientConfig(), Llama 4 Maverick,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode, NPathComplexity",,No,7,18,21,630,45,5,4,6,11,3,2,3.29,7.71,81.94%,High,16,13,3,Ineffective(Test Fails),"Single responsibility principle
Enhanced structure",,
strimzi/strimzi-kafka-operator,adminClientConfig(), R1 Distill Qwen 32B,HYBRID,"CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode",,No,8,18,21,630,45,8,8,15,17,3.13,3.4,4.13,7.63,69.33%,Moderate,16,16,0,Moderate,"Single responsibility principle
Enhanced structure",,
strimzi/strimzi-kafka-operator,adminClientConfig(), R1 Distill Qwen 32B,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode",,No,7,18,21,630,45,6,6,5,12,3.14,2.67,3,7.43,77.66%,Moderate,16,16,0,Moderate,"Single responsibility principle
Enhanced structure",,
strimzi/strimzi-kafka-operator,"setCustomSaslConfigs(Map<String, Object> kafkaClientProps)", Gemini 2.0 Flash,HYBRID,CyclomaticComplexity,CyclomaticComplexity,,No,4,12,,,29,5,,,,3.75,,,,58.33%,Moderate,5,5,0,Moderate,"Single responsibility principle
Enhanced structure",,
strimzi/strimzi-kafka-operator,"setCustomSaslConfigs(Map<String, Object> kafkaClientProps)", Gemini 2.0 Flash,LLM_ONLY,CyclomaticComplexity,CyclomaticComplexity,,No,1,12,,,29,7,,,,7,,,,41.67%,Low,5,5,0,Low,"Mixed responsibilities
reduced code size,
",,
strimzi/strimzi-kafka-operator,"setCustomSaslConfigs(Map<String, Object> kafkaClientProps)", R1 Distill Qwen 32B,HYBRID,CyclomaticComplexity,CyclomaticComplexity,,No,4,12,,,29,5,,,,3.75,,,,58.33%,Moderate,5,5,0,Moderate,"Single responsibility principle
Enhanced structure
improves error context isolation",,
strimzi/strimzi-kafka-operator,"setCustomSaslConfigs(Map<String, Object> kafkaClientProps)", R1 Distill Qwen 32B,LLM_ONLY,CyclomaticComplexity,CyclomaticComplexity,,No,1,12,,,29,7,,,,7,,,,41.67%,Low,5,5,0,Low,"functional programming approach
Streamlined validation process",,
strimzi/strimzi-kafka-operator,"setCustomSaslConfigs(Map<String, Object> kafkaClientProps)", Llama 4 Maverick,HYBRID,CyclomaticComplexity,CyclomaticComplexity,,No,4,12,,,29,8,,,,4,,,,33.33%,Low,5,5,0,Low,"Single responsibility principle
Enhanced structure
improves error context isolation",,
strimzi/strimzi-kafka-operator,"setCustomSaslConfigs(Map<String, Object> kafkaClientProps)", Llama 4 Maverick,LLM_ONLY,CyclomaticComplexity,CyclomaticComplexity,,No,4,12,,,29,3,,,,2.5,,,,75.00%,Moderate,5,4,1,Ineffective(Test Fails),"Single responsibility principle
Enhanced structure
Improves error context isolation
functional style
Three more tests failed, indirectly testing the method through adminClientConfig() ",,
strimzi/strimzi-kafka-operator,validateLogging(Logging logging), Gemini 2.0 Flash,HYBRID,CyclomaticComplexity,CyclomaticComplexity,,No,3,10,,,26,5,,,,4,,,,50.00%,Moderate,1,1,0,Moderate,"Single responsibility principle
Enhanced structure",,
strimzi/strimzi-kafka-operator,validateLogging(Logging logging), Gemini 2.0 Flash,LLM_ONLY,CyclomaticComplexity,,,,2,10,,,26,7,,,,5.5,,,,30.00%,Low,1,1,0,Low,,,
strimzi/strimzi-kafka-operator,validateLogging(Logging logging), R1 Distill Qwen 32B,HYBRID,CyclomaticComplexity,CyclomaticComplexity,,No,3,10,,,26,5,,,,4,,,,50.00%,Moderate,1,1,0,Moderate,"Single responsibility principle
Enhanced structure",,
strimzi/strimzi-kafka-operator,validateLogging(Logging logging), R1 Distill Qwen 32B,LLM_ONLY,CyclomaticComplexity,CyclomaticComplexity,,No,2,10,,,26,7,,,,5.5,,,,30.00%,Low,1,1,0,Low,"Single responsibility principle
Enhanced structure",,
strimzi/strimzi-kafka-operator,validateLogging(Logging logging), Llama 4 Maverick,HYBRID,CyclomaticComplexity,CyclomaticComplexity,,Yes,4,10,,,26,5,,,,4,,,,50.00%,Moderate,1,,,Ineffective(Error or Untestable),Introduces non-existing class,,
strimzi/strimzi-kafka-operator,validateLogging(Logging logging), Llama 4 Maverick,LLM_ONLY,CyclomaticComplexity,CyclomaticComplexity,,Yes,3,10,,,26,5,,,,4,,,,50.00%,Moderate,1,,,Ineffective(Error or Untestable),Introduces non-existing class,,
strimzi/strimzi-kafka-operator,"String loggingConfiguration(Reconciliation reconciliation, LoggingModel logging, ConfigMap externalCm)", Gemini 2.0 Flash,HYBRID,"CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",,Yes,6,16,23,,42,5,3,,10,3.33,2.33,,8.33,77.30%,Moderate,9,,,Ineffective(Error or Untestable),Introduces non-existing class,,
strimzi/strimzi-kafka-operator,"String loggingConfiguration(Reconciliation reconciliation, LoggingModel logging, ConfigMap externalCm)", Gemini 2.0 Flash,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",,Yes,5,16,23,,42,5,4,,11,4,3,,9.4,75.06%,Moderate,9,,,Ineffective(Error or Untestable),"Uses a method that doesn't exist, type mismatch ",,
strimzi/strimzi-kafka-operator,"String loggingConfiguration(Reconciliation reconciliation, LoggingModel logging, ConfigMap externalCm)", R1 Distill Qwen 32B,HYBRID,"CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",,Yes,6,16,23,,42,5,3,,10,3.33,2.33,,8.17,77.30%,Moderate,9,,,Ineffective(Error or Untestable),Introduces non-existing class,,
strimzi/strimzi-kafka-operator,"String loggingConfiguration(Reconciliation reconciliation, LoggingModel logging, ConfigMap externalCm)", R1 Distill Qwen 32B,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",,No,4,16,23,,42,9,7,,13,4.75,4,,11,60.79%,Moderate,9,3,6,Ineffective(Test Fails),,,
strimzi/strimzi-kafka-operator,"String loggingConfiguration(Reconciliation reconciliation, LoggingModel logging, ConfigMap externalCm)", Llama 4 Maverick,HYBRID,"CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",,Yes,5,16,23,,42,9,7,,11,4,4,,9,62.37%,Moderate,9,,,Ineffective(Error or Untestable),Uses a method thata doesn't exist,,
strimzi/strimzi-kafka-operator,"String loggingConfiguration(Reconciliation reconciliation, LoggingModel logging, ConfigMap externalCm)", Llama 4 Maverick,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, ExcessiveLinesOfCode",,No,5,16,23,,42,9,7,,11,4,4,,9,62.37%,Moderate,9,3,6,Ineffective(Test Fails),"Single responsibility principle
Enhanced structure",,
strimzi/strimzi-kafka-operator,"String metricsJson(Reconciliation reconciliation, ConfigMap configMap)", Gemini 2.0 Flash,HYBRID,"ExcessiveLinesOfCode, CognitiveComplexity","CognitiveComplexity, ExcessiveLinesOfCode",,No,4,,17,,31,,3,,18,,2.5,,9.75,62.14%,Moderate,2,2,0,Moderate,"Single responsibility principle
Enhanced structure
Improves error handling",,
strimzi/strimzi-kafka-operator,"String metricsJson(Reconciliation reconciliation, ConfigMap configMap)", Gemini 2.0 Flash,LLM_ONLY,"ExcessiveLinesOfCode, CognitiveComplexity","CognitiveComplexity, ExcessiveLinesOfCode",,No,1,,17,,31,,5,,29,,5,,29,38.52%,Low,2,2,0,Low,"wliminated deep nesting 
no method overhead",,
strimzi/strimzi-kafka-operator,"String metricsJson(Reconciliation reconciliation, ConfigMap configMap)", R1 Distill Qwen 32B,HYBRID,"ExcessiveLinesOfCode, CognitiveComplexity","CognitiveComplexity, ExcessiveLinesOfCode",,No,4,,17,,31,,3,,18,,2.5,,9.75,62.14%,Moderate,2,2,0,Moderate,"Single responsibility principle
Enhanced structure
Improves error handling",,
strimzi/strimzi-kafka-operator,"String metricsJson(Reconciliation reconciliation, ConfigMap configMap)", R1 Distill Qwen 32B,LLM_ONLY,"ExcessiveLinesOfCode, CognitiveComplexity","CognitiveComplexity, ExcessiveLinesOfCode",,No,1,,17,,31,,5,,29,,5,,29,38.52%,Low,2,2,0,Low,"Single responsibility principle
Enhanced structure
Improves error handling",,
strimzi/strimzi-kafka-operator,"String metricsJson(Reconciliation reconciliation, ConfigMap configMap)", Llama 4 Maverick,HYBRID,"ExcessiveLinesOfCode, CognitiveComplexity","ExcessiveLinesOfCode, CognitiveComplexity",,No,4,,17,,31,,2,,10,,1.5,,8.5,77.99%,Moderate,2,1,1,Ineffective(Test Fails),"Single responsibility principle
Enhanced structure
Improves error handling",,
strimzi/strimzi-kafka-operator,"String metricsJson(Reconciliation reconciliation, ConfigMap configMap)", Llama 4 Maverick,LLM_ONLY,"ExcessiveLinesOfCode, CognitiveComplexity","CognitiveComplexity, ExcessiveLinesOfCode",,No,4,,17,,31,,2,,10,,1.5,,8.5,77.99%,Moderate,2,1,1,Ineffective(Test Fails),"Single responsibility principle
Enhanced structure
Improves error handling",,
strimzi/strimzi-kafka-operator,"Secret buildTrustedCertificateSecret(Reconciliation reconciliation, ClusterCa clusterCa, Secret secret, String namespace,
                                                       String secretName, String commonName, String keyCertName,
                                                       Labels labels, OwnerReference ownerReference, boolean isMaintenanceTimeWindowsSatisfied) ", Gemini 2.0 Flash,HYBRID,"CyclomaticComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, ExcessiveLinesOfCode",,No,3,10,,,36,7,,,15,4,,,11.33,44.17%,Low,5,5,0,Low,"Single responsibility principle
Enhanced structure",,
strimzi/strimzi-kafka-operator,"Secret buildTrustedCertificateSecret(Reconciliation reconciliation, ClusterCa clusterCa, Secret secret, String namespace,
                                                       String secretName, String commonName, String keyCertName,
                                                       Labels labels, OwnerReference ownerReference, boolean isMaintenanceTimeWindowsSatisfied) ", Gemini 2.0 Flash,LLM_ONLY,"CyclomaticComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, ExcessiveLinesOfCode",,No,3,10,,,36,7,,,13,4.33,,,11.67,46.94%,Low,5,,,Ineffective(Error or Untestable),"Single responsibility principle
Enhanced structure",,
strimzi/strimzi-kafka-operator,"Secret buildTrustedCertificateSecret(Reconciliation reconciliation, ClusterCa clusterCa, Secret secret, String namespace,
                                                       String secretName, String commonName, String keyCertName,
                                                       Labels labels, OwnerReference ownerReference, boolean isMaintenanceTimeWindowsSatisfied) ", R1 Distill Qwen 32B,HYBRID,"CyclomaticComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, ExcessiveLinesOfCode",,No,4,10,,,36,7,,,13,3.25,,,8.75,46.94%,Low,5,5,0,Low,"Single responsibility principle
Enhanced structure",,
strimzi/strimzi-kafka-operator,"Secret buildTrustedCertificateSecret(Reconciliation reconciliation, ClusterCa clusterCa, Secret secret, String namespace,
                                                       String secretName, String commonName, String keyCertName,
                                                       Labels labels, OwnerReference ownerReference, boolean isMaintenanceTimeWindowsSatisfied) ", R1 Distill Qwen 32B,LLM_ONLY,"CyclomaticComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, ExcessiveLinesOfCode",,No,3,10,,,36,4,,,14,3,,,12,60.56%,Moderate,5,5,0,Moderate,"Single responsibility principle
Enhanced structure",,
strimzi/strimzi-kafka-operator,"Secret buildTrustedCertificateSecret(Reconciliation reconciliation, ClusterCa clusterCa, Secret secret, String namespace,
                                                       String secretName, String commonName, String keyCertName,
                                                       Labels labels, OwnerReference ownerReference, boolean isMaintenanceTimeWindowsSatisfied) ", Llama 4 Maverick,HYBRID,"CyclomaticComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, ExcessiveLinesOfCode",,No,3,10,,,36,7,,,15,4,,,11.33,44.17%,Low,5,5,0,Low,"Single responsibility principle
Enhanced structure",,
strimzi/strimzi-kafka-operator,"Secret buildTrustedCertificateSecret(Reconciliation reconciliation, ClusterCa clusterCa, Secret secret, String namespace,
                                                       String secretName, String commonName, String keyCertName,
                                                       Labels labels, OwnerReference ownerReference, boolean isMaintenanceTimeWindowsSatisfied) ", Llama 4 Maverick,LLM_ONLY,"CyclomaticComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, ExcessiveLinesOfCode",,No,3,10,,,36,7,,,15,4,,,11.33,44.17%,Low,5,5,0,Low,"Single responsibility principle
Enhanced structure",,
strimzi/strimzi-kafka-operator,"void addContainerEnvsToExistingEnvs(Reconciliation reconciliation, List<EnvVar> existingEnvs, ContainerTemplate template)", Gemini 2.0 Flash,HYBRID,CyclomaticComplexity,CyclomaticComplexity,,No,3,10,,,21,4,,,,3.67,,,,60.00%,Moderate,5,5,0,Moderate,"Single responsibility principle
Enhanced structure",,
strimzi/strimzi-kafka-operator,"void addContainerEnvsToExistingEnvs(Reconciliation reconciliation, List<EnvVar> existingEnvs, ContainerTemplate template)", Gemini 2.0 Flash,LLM_ONLY,CyclomaticComplexity,CyclomaticComplexity,,No,2,10,,,21,6,,,,5.5,,,,40.00%,Low,5,5,0,Low,,,
strimzi/strimzi-kafka-operator,"void addContainerEnvsToExistingEnvs(Reconciliation reconciliation, List<EnvVar> existingEnvs, ContainerTemplate template)", R1 Distill Qwen 32B,HYBRID,CyclomaticComplexity,CyclomaticComplexity,,Yes,4,10,,,21,4,,,,3.25,,,,60.00%,Moderate,5,,,Ineffective(Error or Untestable),"Type incompatibility issue. When changing to the correct type, all tests pass ",,
strimzi/strimzi-kafka-operator,"void addContainerEnvsToExistingEnvs(Reconciliation reconciliation, List<EnvVar> existingEnvs, ContainerTemplate template)", R1 Distill Qwen 32B,LLM_ONLY,CyclomaticComplexity,CyclomaticComplexity,,Yes,2,10,,,21,6,,,,5.5,,,,40.00%,Low,5,,,Ineffective(Error or Untestable),"Type incompatibility issue. When changing to the correct type, all tests pass ",,
strimzi/strimzi-kafka-operator,"void addContainerEnvsToExistingEnvs(Reconciliation reconciliation, List<EnvVar> existingEnvs, ContainerTemplate template)", Llama 4 Maverick,HYBRID,CyclomaticComplexity,CyclomaticComplexity,,No,4,10,,,21,6,,,,3.5,,,,40.00%,Low,5,5,0,Low,"Single responsibility principle
Enhanced structure",,
strimzi/strimzi-kafka-operator,"void addContainerEnvsToExistingEnvs(Reconciliation reconciliation, List<EnvVar> existingEnvs, ContainerTemplate template)", Llama 4 Maverick,LLM_ONLY,CyclomaticComplexity,CyclomaticComplexity,,Yes,2,10,,,21,6,,,,6,,,,40.00%,Low,5,,,Ineffective(Error or Untestable),Uses a method thata doesn't exist,,
strimzi/strimzi-kafka-operator,"EntityUserOperator fromCrd(Reconciliation reconciliation,
                                             Kafka kafkaAssembly,
                                             SharedEnvironmentProvider sharedEnvironmentProvider,
                                             ClusterOperatorConfig config)", Gemini 2.0 Flash,HYBRID,"CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode",,No,11,13,25,642,52,4,5,5,19,2,1.5,2.55,6.27,77.98%,Moderate,10,10,0,Moderate,"Single responsibility principle
Enhanced structure",,
strimzi/strimzi-kafka-operator,"EntityUserOperator fromCrd(Reconciliation reconciliation,
                                             Kafka kafkaAssembly,
                                             SharedEnvironmentProvider sharedEnvironmentProvider,
                                             ClusterOperatorConfig config)", Gemini 2.0 Flash,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, NPathComplexity",ExcessiveLinesOfCode,No,1,13,25,642,52,9,9,192,34,9,9,192,34,49.87%,Low,10,10,0,Low,"Single method implementation
Reduce method overhead 
more complex lines and mixed responsibilities",,
strimzi/strimzi-kafka-operator,"EntityUserOperator fromCrd(Reconciliation reconciliation,
                                             Kafka kafkaAssembly,
                                             SharedEnvironmentProvider sharedEnvironmentProvider,
                                             ClusterOperatorConfig config)", R1 Distill Qwen 32B,HYBRID,"CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode",,No,11,13,25,642,52,4,5,5,19,2.09,1.6,2.64,6.67,77.98%,Moderate,10,10,0,Moderate,"Single responsibility principle
Enhanced structure",,
strimzi/strimzi-kafka-operator,"EntityUserOperator fromCrd(Reconciliation reconciliation,
                                             Kafka kafkaAssembly,
                                             SharedEnvironmentProvider sharedEnvironmentProvider,
                                             ClusterOperatorConfig config)", R1 Distill Qwen 32B,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, NPathComplexity",ExcessiveLinesOfCode,No,1,13,25,642,52,9,9,192,34,9,9,192,34,49.87%,Low,10,9,1,Ineffective(Test Fails),,,
strimzi/strimzi-kafka-operator,"EntityUserOperator fromCrd(Reconciliation reconciliation,
                                             Kafka kafkaAssembly,
                                             SharedEnvironmentProvider sharedEnvironmentProvider,
                                             ClusterOperatorConfig config)", Llama 4 Maverick,HYBRID,"CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode",,No,16,13,25,642,52,4,5,5,24,1.73,1.4,1.87,5.4,75.57%,Moderate,10,10,0,Moderate,"Single responsibility principle
Enhanced structure",,
strimzi/strimzi-kafka-operator,"EntityUserOperator fromCrd(Reconciliation reconciliation,
                                             Kafka kafkaAssembly,
                                             SharedEnvironmentProvider sharedEnvironmentProvider,
                                             ClusterOperatorConfig config)", Llama 4 Maverick,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode",,No,15,13,25,642,52,4,5,5,24,1.73,1.4,1.87,5.4,75.57%,Moderate,10,10,0,Moderate,"Single responsibility principle
Enhanced structure",,
strimzi/strimzi-kafka-operator,KafkaBridgeConfigurationBuilder withAuthentication(KafkaClientAuthentication authentication), Gemini 2.0 Flash,HYBRID,"CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode",,No,7,18,55,397,72,8,7,96,20,3.86,4,16.43,11.57,72.72%,Moderate,2,1,1,Ineffective(Test Fails),"Single responsibility principle
Enhanced structure",,
strimzi/strimzi-kafka-operator,KafkaBridgeConfigurationBuilder withAuthentication(KafkaClientAuthentication authentication), Gemini 2.0 Flash,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode",,Yes,1,18,55,397,72,4,5,4,11,4,5,4,11,88.10%,High,2,,,Ineffective(Error or Untestable),The response shows method declarations without implementations,,
strimzi/strimzi-kafka-operator,KafkaBridgeConfigurationBuilder withAuthentication(KafkaClientAuthentication authentication), R1 Distill Qwen 32B,HYBRID,"CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode",,No,7,18,55,397,72,6,6,32,17,3.86,4,7.87,11.71,81.02%,High,2,1,1,Ineffective(Test Fails),,,
strimzi/strimzi-kafka-operator,KafkaBridgeConfigurationBuilder withAuthentication(KafkaClientAuthentication authentication), R1 Distill Qwen 32B,LLM_ONLY,"CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode",,Yes,1,18,55,397,72,4,5,4,11,4,5,4,11,88.10%,High,2,,,Ineffective(Error or Untestable),The response shows method declarations without implementations,,
strimzi/strimzi-kafka-operator,KafkaBridgeConfigurationBuilder withAuthentication(KafkaClientAuthentication authentication), Llama 4 Maverick,HYBRID,"CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode","CyclomaticComplexity, CognitiveComplexity, NPathComplexity, ExcessiveLinesOfCode",,No,9,18,55,397,72,9,8,192,24,3,4.75,23.78,9.22,63.44%,Moderate,2,2,0,Moderate,"Single responsibility principle
Enhanced structure",,
